Cole Beasley,Buf,WR,16,179.70,24%,-,123,0,0,0,0,0,0,65,672,3,39,69,0,0,0
Austin Hooper,Atl,TE,16,179.00,98%,-,124,0,0,0,0,0,0,71,660,4,30,0,0,1,0
Nelson Agholor,Phi,WR,16,178.87,22%,-,125,15,0,0,32,0,2,64,736,4,28,0,0,0,0
Dalvin Cook,Min,RB,11,178.83,100%,-,126,0,0,0,615,2,22,40,305,2,15,0,0,0,2
Andy Dalton,Cin,QB,11,178.54,20%,-,127,2566,21,11,99,0,4,0,0,0,0,0,0,0,0
A.J. Green,Cin,WR,9,175.27,84%,-,128,0,0,0,0,0,0,46,694,6,37,0,0,0,1
Jordy Nelson,Oak,WR,15,174.77,0%,-,129,0,0,0,-2,0,0,63,739,3,36,7,0,1,0
Robby Anderson,NYJ,WR,14,174.63,68%,-,130,0,0,0,-8,0,0,50,752,6,30,13,0,0,2
Curtis Samuel,Car,WR,13,174.23,75%,-,131,0,0,0,84,2,3,39,494,5,24,209,0,0,1
Allen Robinson II,Chi,WR,13,172.17,96%,-,132,0,0,0,9,0,0,55,754,4,36,0,0,0,1
Kerryon Johnson,Det,RB,10,171.30,54%,-,133,0,0,0,641,3,32,32,213,1,11,0,0,0,1
Antonio Callaway,Cle,WR,16,171.17,1%,-,134,0,0,0,7,0,1,43,586,5,27,204,0,1,1
Ryan Fitzpatrick,Mia,QB,8,170.84,4%,-,135,2366,17,12,152,2,9,0,0,0,0,0,0,1,1
Kyle Rudolph,Min,TE,16,170.27,37%,-,136,0,0,0,0,0,0,64,634,4,32,0,0,0,0
Trey Burton,Chi,TE,16,170.13,21%,-,137,0,0,0,2,0,1,54,569,6,29,0,0,1,1
Jalen Richard,Oak,RB,16,168.67,3%,-,140,0,0,0,259,1,11,68,607,0,23,3,0,0,2
Taylor Gabriel,Chi,WR,16,166.97,5%,-,143,0,0,0,61,0,3,67,688,2,31,0,0,0,1
DeSean Jackson,Phi,WR,12,166.90,60%,-,144,0,0,0,29,1,2,41,774,4,31,24,0,0,0
Mark Ingram II,Bal,RB,12,165.83,98%,-,145,0,0,0,645,6,34,21,170,1,5,0,0,0,1
Alex Erickson,Cin,WR,16,165.43,7%,-,146,0,0,0,22,0,1,20,167,0,7,1261,0,0,1
Ryan Switzer,Pit,WR,16,163.87,0%,-,148,0,0,0,21,0,0,36,253,1,15,859,0,0,0
Doug Baldwin,Sea,WR,13,163.20,0%,-,149,0,0,0,0,0,0,50,618,5,32,0,0,0,0
Mike Davis,Chi,RB,15,158.67,3%,-,152,0,0,0,514,4,25,34,214,1,10,0,0,0,0
John Brown,Buf,WR,16,158.07,87%,-,153,0,0,0,4,0,0,42,715,5,28,0,0,0,0
Duke Johnson,Hou,RB,16,157.70,60%,-,154,0,0,0,201,0,9,47,429,3,25,0,0,2,0
David Njoku,Cle,TE,16,157.60,20%,-,155,0,0,0,0,0,0,56,639,4,27,0,0,0,0
Tyrell Williams,Oak,WR,16,157.03,65%,-,156,0,0,0,15,0,1,41,653,5,30,0,0,0,0
Cooper Kupp,LAR,WR,8,156.63,99%,-,157,0,0,0,25,0,3,40,566,6,25,4,0,0,0
Isaiah Crowell,Oak,RB,13,156.63,0%,-,158,0,0,0,685,6,26,21,152,0,7,0,0,0,0
Kenny Stills,Hou,WR,15,155.59,60%,-,159,3,1,0,0,0,0,37,553,6,27,6,0,1,0
Chester Rogers,Ind,WR,16,155.43,0%,-,160,0,0,0,-4,0,0,53,485,2,28,225,0,2,0
Ryan Tannehill,Ten,QB,11,154.86,30%,-,162,1979,17,9,145,0,9,1,3,1,1,0,0,0,4
Willie Snead IV,Bal,WR,16,154.00,3%,-,164,0,0,0,13,0,1,62,651,1,37,13,0,0,0
Vance McDonald,Pit,TE,15,153.67,62%,-,167,0,0,0,0,0,0,50,610,4,33,0,0,0,1
Michael Crabtree,Ari,WR,16,153.47,0%,-,168,0,0,0,0,0,0,54,607,3,35,0,0,0,0
Anthony Miller,Chi,WR,15,153.02,11%,-,169,8,0,0,26,0,0,33,423,7,19,139,0,0,0
Jakeem Grant,Mia,WR,10,152.67,1%,-,170,0,0,0,5,0,0,21,268,2,13,763,2,0,0
